School,Position,question,response,n
ESHPM,Postdoc or researcher,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,I do not share any of these concerns,1
ESHPM,Postdoc or researcher,What is your experience with Open Access?,I have extensive experience with Open Access publishing,3
ESHPM,Postdoc or researcher,What is your experience with Open Access?,I have some experience with Open Access publishing,1
ESHCC,Assistant Professor,"In your opinion, how important is Open Access for your work?",Extremely important,1
ESHCC,Assistant Professor,"In your opinion, how important is Open Access for your work?",Moderately important,1
ESHCC,Assistant Professor,"In your opinion, how important is Open Access for your work?",Very important,1
ESHCC,Assistant Professor,Is there anything you want to share with us regarding your experiences with Open Access?,NA,3
ESHCC,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work,1
ESHCC,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Other people might copy my research and publish it before I do,1
ESHCC,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,1
ESHCC,Assistant Professor,What is your experience with Open Access?,I have some experience with Open Access publishing,3
ESHCC,Other,"In your opinion, how important is Open Access for your work?",Slightly important,1
ESHCC,Other,Is there anything you want to share with us regarding your experiences with Open Access?,NA,1
ESHCC,Other,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature,1
ESHCC,Other,What is your experience with Open Access?,I have some experience with Open Access publishing,1
ESHCC,Lecturer,"In your opinion, how important is Open Access for your work?",Extremely important,1
ESHCC,Lecturer,"In your opinion, how important is Open Access for your work?",Very important,1
ESHCC,Lecturer,Is there anything you want to share with us regarding your experiences with Open Access?,NA,2
ESHCC,Lecturer,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Other people might copy my research and publish it before I do,1
ESHCC,Lecturer,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,1
ESHCC,Lecturer,What is your experience with Open Access?,I am aware of Open Access publishing but have not done it,1
ESHCC,Lecturer,What is your experience with Open Access?,I have some experience with Open Access publishing,1
ESHCC,PhD candidate,"In your opinion, how important is Open Access for your work?",Extremely important,1
ESHCC,PhD candidate,"In your opinion, how important is Open Access for your work?",Very important,1
ESHCC,PhD candidate,Is there anything you want to share with us regarding your experiences with Open Access?,NA,2
ESHCC,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,2
ESHCC,PhD candidate,What is your experience with Open Access?,I have extensive experience with Open Access publishing,1
ESHCC,PhD candidate,What is your experience with Open Access?,I have some experience with Open Access publishing,1
ESL,Assistant Professor,"In your opinion, how important is Open Access for your work?",Extremely important,1
ESL,Assistant Professor,"In your opinion, how important is Open Access for your work?",Very important,2
ESL,Assistant Professor,Is there anything you want to share with us regarding your experiences with Open Access?,gold access is too expensive,1
ESL,Assistant Professor,Is there anything you want to share with us regarding your experiences with Open Access?,NA,2
ESL,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: Open Access journals might have lower quality articles,1
ESL,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: Open Access journals might not provide rigorous peer-review,1
ESL,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,I do not share any of these concerns,1
ESL,Assistant Professor,What is your experience with Open Access?,I have some experience with Open Access publishing,3
ESL,Associate Professor,"In your opinion, how important is Open Access for your work?",Extremely important,1
ESL,Associate Professor,"In your opinion, how important is Open Access for your work?",Moderately important,2
ESL,Associate Professor,"In your opinion, how important is Open Access for your work?",Very important,2
ESL,Associate Professor,Is there anything you want to share with us regarding your experiences with Open Access?,"for my own research it is very important to have access to other articles. I therefore really appreciate open access. If I cant find an article in open access (gold), I might not use it.",1
ESL,Associate Professor,Is there anything you want to share with us regarding your experiences with Open Access?,How to prevent that open access published articles will be hard to find because of all the seperate institution-based archives?,1
ESL,Associate Professor,Is there anything you want to share with us regarding your experiences with Open Access?,"I think it's ridiculous that we as researchers do the research, write and act as peer reviewer and major corporate publishers earn money.",1
ESL,Associate Professor,Is there anything you want to share with us regarding your experiences with Open Access?,NA,2
ESL,Associate Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,"Green OA (self-archiving): Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work",1
ESL,Associate Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Other people might copy my research and publish it before I do,2
ESL,Associate Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,2
ESL,Associate Professor,What is your experience with Open Access?,I am aware of Open Access publishing but have not done it,1
ESL,Associate Professor,What is your experience with Open Access?,I have extensive experience with Open Access publishing,1
ESL,Associate Professor,What is your experience with Open Access?,I have some experience with Open Access publishing,3
ESL,Full Professor,"In your opinion, how important is Open Access for your work?",Extremely important,2
ESL,Full Professor,"In your opinion, how important is Open Access for your work?",Moderately important,2
ESL,Full Professor,"In your opinion, how important is Open Access for your work?",Not at all important,1
ESL,Full Professor,"In your opinion, how important is Open Access for your work?",Slightly important,1
ESL,Full Professor,"In your opinion, how important is Open Access for your work?",Very important,6
ESL,Full Professor,Is there anything you want to share with us regarding your experiences with Open Access?,"I am doing anything in my power to make my work open access, including following up on embargo periods of all journals and book publishers (contracts I sign) to make the work publicly available the second I legally can.",1
ESL,Full Professor,Is there anything you want to share with us regarding your experiences with Open Access?,I like it that the universities support it financially,1
ESL,Full Professor,Is there anything you want to share with us regarding your experiences with Open Access?,it sometimes really is a hassle to arrange evrything and that is annoying,1
ESL,Full Professor,Is there anything you want to share with us regarding your experiences with Open Access?,"Labour law implications of obliging staff to publish open access are currently not taken into account. This is highly problematic, especially as EUR staff must also provide open access for publications that do not (clearly or in the view of publishers) meet the requirements of article 25fa Auteurswet (as otherwise the UB will not include the publication in Pure). This is not correct and not goed werkgeverschap of the EUR. This element of open access is not given any attention at the moment. The one size fits all approach (such as: 6 months for all publications) of the EUR to open access is not in line with the legislative history of article 25 fa Auteurswet and does not take into account the differences between disciplines and their publishing cultures.",1
ESL,Full Professor,Is there anything you want to share with us regarding your experiences with Open Access?,no,1
ESL,Full Professor,Is there anything you want to share with us regarding your experiences with Open Access?,Only positive,1
ESL,Full Professor,Is there anything you want to share with us regarding your experiences with Open Access?,"There is not much attention for publishing books or in edited volumes. In my field, this is an important form of publishing, but it is hard to do this open access.",1
ESL,Full Professor,Is there anything you want to share with us regarding your experiences with Open Access?,NA,5
ESL,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,1
ESL,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work,1
ESL,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature,2
ESL,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,7
ESL,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,I do not share any of these concerns,1
ESL,Full Professor,What is your experience with Open Access?,I am aware of Open Access publishing but have not done it,3
ESL,Full Professor,What is your experience with Open Access?,I have extensive experience with Open Access publishing,5
ESL,Full Professor,What is your experience with Open Access?,I have some experience with Open Access publishing,4
ESL,PhD candidate,"In your opinion, how important is Open Access for your work?",Extremely important,2
ESL,PhD candidate,"In your opinion, how important is Open Access for your work?",Moderately important,2
ESL,PhD candidate,"In your opinion, how important is Open Access for your work?",Not at all important,1
ESL,PhD candidate,"In your opinion, how important is Open Access for your work?",Very important,3
ESL,PhD candidate,Is there anything you want to share with us regarding your experiences with Open Access?,"I have read the university strives to publish all articles by EUR researchers as open access, but I am not aware of the details. I fully support this goal, as I do not understand how we can do research funded by tax payers and then have the findings behind pay walls.",1
ESL,PhD candidate,Is there anything you want to share with us regarding your experiences with Open Access?,NA,7
ESL,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,"Green OA (self-archiving): Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work",1
ESL,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Other people might copy my research and publish it before I do,1
ESL,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,6
ESL,PhD candidate,What is your experience with Open Access?,I am aware of Open Access publishing but have not done it,6
ESL,PhD candidate,What is your experience with Open Access?,I have extensive experience with Open Access publishing,1
ESL,PhD candidate,What is your experience with Open Access?,"Until now, I was unaware of Open Access publishing",1
ESPhil,Associate Professor,"In your opinion, how important is Open Access for your work?",Extremely important,2
ESPhil,Associate Professor,Is there anything you want to share with us regarding your experiences with Open Access?,NA,2
ESPhil,Associate Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,1
ESPhil,Associate Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,1
ESPhil,Associate Professor,What is your experience with Open Access?,I have extensive experience with Open Access publishing,1
ESPhil,Associate Professor,What is your experience with Open Access?,I have some experience with Open Access publishing,1
ESPhil,Full Professor,"In your opinion, how important is Open Access for your work?",Moderately important,1
ESPhil,Full Professor,"In your opinion, how important is Open Access for your work?",Not at all important,1
ESPhil,Full Professor,"In your opinion, how important is Open Access for your work?",Slightly important,1
ESPhil,Full Professor,Is there anything you want to share with us regarding your experiences with Open Access?,NA,3
ESPhil,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: Open Access journals might have lower quality articles,2
ESPhil,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature,1
ESPhil,Full Professor,What is your experience with Open Access?,I am aware of Open Access publishing but have not done it,1
ESPhil,Full Professor,What is your experience with Open Access?,I have some experience with Open Access publishing,2
ESPhil,PhD candidate,"In your opinion, how important is Open Access for your work?",Extremely important,1
ESPhil,PhD candidate,"In your opinion, how important is Open Access for your work?",I don’t know/prefer not to answer,1
ESPhil,PhD candidate,"In your opinion, how important is Open Access for your work?",Moderately important,2
ESPhil,PhD candidate,"In your opinion, how important is Open Access for your work?",Very important,1
ESPhil,PhD candidate,Is there anything you want to share with us regarding your experiences with Open Access?,NA,5
ESPhil,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,1
ESPhil,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work,1
ESPhil,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Other people might copy my research and publish it before I do,1
ESPhil,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,1
ESPhil,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,I don’t know/prefer not to answer,1
ESPhil,PhD candidate,What is your experience with Open Access?,I am aware of Open Access publishing but have not done it,3
ESPhil,PhD candidate,What is your experience with Open Access?,I have extensive experience with Open Access publishing,1
ESPhil,PhD candidate,What is your experience with Open Access?,"Until now, I was unaware of Open Access publishing",1
ESSB,Assistant Professor,"In your opinion, how important is Open Access for your work?",Extremely important,3
ESSB,Assistant Professor,"In your opinion, how important is Open Access for your work?",Moderately important,2
ESSB,Assistant Professor,"In your opinion, how important is Open Access for your work?",Very important,8
ESSB,Assistant Professor,Is there anything you want to share with us regarding your experiences with Open Access?,NA,13
ESSB,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: Open Access journals might have lower quality articles,1
ESSB,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,"Green OA (self-archiving): Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work",1
ESSB,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work,1
ESSB,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature,1
ESSB,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Other people might copy my research and publish it before I do,2
ESSB,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,6
ESSB,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,I do not share any of these concerns,1
ESSB,Assistant Professor,What is your experience with Open Access?,I am aware of Open Access publishing but have not done it,1
ESSB,Assistant Professor,What is your experience with Open Access?,I have extensive experience with Open Access publishing,6
ESSB,Assistant Professor,What is your experience with Open Access?,I have some experience with Open Access publishing,6
ESSB,Associate Professor,"In your opinion, how important is Open Access for your work?",Extremely important,2
ESSB,Associate Professor,"In your opinion, how important is Open Access for your work?",Very important,1
ESSB,Associate Professor,Is there anything you want to share with us regarding your experiences with Open Access?,NA,3
ESSB,Associate Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,2
ESSB,Associate Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: Open Access journals might have lower quality articles,1
ESSB,Associate Professor,What is your experience with Open Access?,I have extensive experience with Open Access publishing,2
ESSB,Associate Professor,What is your experience with Open Access?,I have some experience with Open Access publishing,1
ESSB,Full Professor,"In your opinion, how important is Open Access for your work?",Extremely important,3
ESSB,Full Professor,"In your opinion, how important is Open Access for your work?",Very important,7
ESSB,Full Professor,Is there anything you want to share with us regarding your experiences with Open Access?,NA,10
ESSB,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,3
ESSB,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: Open Access journals might have lower quality articles,2
ESSB,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work,1
ESSB,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature,1
ESSB,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,2
ESSB,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,I do not share any of these concerns,1
ESSB,Full Professor,What is your experience with Open Access?,I have extensive experience with Open Access publishing,9
ESSB,Full Professor,What is your experience with Open Access?,I have some experience with Open Access publishing,1
ESSB,Other,"In your opinion, how important is Open Access for your work?",Extremely important,1
ESSB,Other,"In your opinion, how important is Open Access for your work?",Slightly important,1
ESSB,Other,"In your opinion, how important is Open Access for your work?",Very important,1
ESSB,Other,Is there anything you want to share with us regarding your experiences with Open Access?,NA,3
ESSB,Other,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,2
ESSB,Other,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,"Other_For me the most important issue is where to find publications. And if this place/website is clear that publications can be ""googeld"" easily.",1
ESSB,Other,What is your experience with Open Access?,I am aware of Open Access publishing but have not done it,1
ESSB,Other,What is your experience with Open Access?,I have extensive experience with Open Access publishing,1
ESSB,Other,What is your experience with Open Access?,"Until now, I was unaware of Open Access publishing",1
ESSB,PhD candidate,"In your opinion, how important is Open Access for your work?",Extremely important,7
ESSB,PhD candidate,"In your opinion, how important is Open Access for your work?",Moderately important,1
ESSB,PhD candidate,"In your opinion, how important is Open Access for your work?",Very important,6
ESSB,PhD candidate,Is there anything you want to share with us regarding your experiences with Open Access?,NA,14
ESSB,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,2
ESSB,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature,6
ESSB,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,5
ESSB,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,I do not share any of these concerns,1
ESSB,PhD candidate,What is your experience with Open Access?,I am aware of Open Access publishing but have not done it,2
ESSB,PhD candidate,What is your experience with Open Access?,I have extensive experience with Open Access publishing,2
ESSB,PhD candidate,What is your experience with Open Access?,I have some experience with Open Access publishing,10
ESSB,Postdoc or researcher,"In your opinion, how important is Open Access for your work?",Extremely important,1
ESSB,Postdoc or researcher,"In your opinion, how important is Open Access for your work?",Very important,6
ESSB,Postdoc or researcher,Is there anything you want to share with us regarding your experiences with Open Access?,NA,7
ESSB,Postdoc or researcher,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: Open Access journals might not provide rigorous peer-review,1
ESSB,Postdoc or researcher,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,"Green OA (self-archiving): Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work",1
ESSB,Postdoc or researcher,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work,1
ESSB,Postdoc or researcher,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Other people might copy my research and publish it before I do,1
ESSB,Postdoc or researcher,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,2
ESSB,Postdoc or researcher,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,I do not share any of these concerns,1
ESSB,Postdoc or researcher,What is your experience with Open Access?,I have extensive experience with Open Access publishing,4
ESSB,Postdoc or researcher,What is your experience with Open Access?,I have some experience with Open Access publishing,3
ISS,Assistant Professor,"In your opinion, how important is Open Access for your work?",Very important,3
ISS,Assistant Professor,Is there anything you want to share with us regarding your experiences with Open Access?,NA,3
ISS,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature,1
ISS,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Other people might copy my research and publish it before I do,1
ISS,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,1
ISS,Assistant Professor,What is your experience with Open Access?,I have some experience with Open Access publishing,3
ISS,Associate Professor,"In your opinion, how important is Open Access for your work?",Extremely important,2
ISS,Associate Professor,Is there anything you want to share with us regarding your experiences with Open Access?,NA,2
ISS,Associate Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Other people might copy my research and publish it before I do,1
ISS,Associate Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,1
ISS,Associate Professor,What is your experience with Open Access?,I have extensive experience with Open Access publishing,1
ISS,Associate Professor,What is your experience with Open Access?,I have some experience with Open Access publishing,1
ISS,Full Professor,"In your opinion, how important is Open Access for your work?",Extremely important,3
ISS,Full Professor,"In your opinion, how important is Open Access for your work?",Moderately important,1
ISS,Full Professor,"In your opinion, how important is Open Access for your work?",Very important,2
ISS,Full Professor,Is there anything you want to share with us regarding your experiences with Open Access?,NA,6
ISS,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,1
ISS,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: Open Access journals might not provide rigorous peer-review,1
ISS,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature,2
