participant,Finished,School,Department,Position
71,TRUE,ESSB,Pedagogical Sciences,PhD candidate
72,TRUE,ESSB,Psychology,Postdoc or researcher
73,TRUE,ESSB,Public Administration,Assistant Professor
74,TRUE,ESSB,Psychology,Full Professor
75,TRUE,ESHPM,NA,PhD candidate
76,TRUE,ESSB,Pedagogical Sciences,Full Professor
77,TRUE,ESHPM,NA,Assistant Professor
78,TRUE,ESHPM,NA,Assistant Professor
79,TRUE,ESHPM,NA,Assistant Professor
80,TRUE,ESHPM,NA,Postdoc or researcher
81,TRUE,ESHPM,NA,Assistant Professor
82,TRUE,ESHPM,NA,Full Professor
83,TRUE,ESHPM,NA,Assistant Professor
84,TRUE,ESSB,Psychology,PhD candidate
85,TRUE,ESHPM,NA,PhD candidate
86,TRUE,ESHPM,NA,Full Professor
87,TRUE,ESSB,Pedagogical Sciences,Associate Professor
88,TRUE,ESSB,Public Administration,Assistant Professor
89,TRUE,ESHPM,NA,Assistant Professor
90,TRUE,ESSB,Pedagogical Sciences,Associate Professor
91,TRUE,ESSB,Psychology,PhD candidate
92,TRUE,ESSB,Pedagogical Sciences,Assistant Professor
93,TRUE,ESSB,Public Administration,Assistant Professor
94,TRUE,ESSB,Pedagogical Sciences,PhD candidate
95,TRUE,ESSB,Psychology,PhD candidate
96,TRUE,ESSB,Psychology,Assistant Professor
97,TRUE,ESHPM,NA,Associate Professor
98,TRUE,ESSB,Other,Other
99,TRUE,ESHPM,NA,PhD candidate
100,TRUE,ESSB,Psychology,Assistant Professor
101,TRUE,ISS,NA,Assistant Professor
102,TRUE,ISS,NA,Full Professor
103,TRUE,ISS,NA,Full Professor
104,TRUE,ISS,NA,Associate Professor
105,TRUE,ISS,NA,PhD candidate
106,TRUE,ISS,NA,Full Professor
107,TRUE,ESSB,Other,Postdoc or researcher
108,FALSE,ESSB,Sociology,PhD candidate
109,TRUE,ESSB,Other,PhD candidate
110,TRUE,ESSB,Sociology,Assistant Professor
111,TRUE,ESSB,Other,Postdoc or researcher
112,TRUE,ESSB,Other,Assistant Professor
113,TRUE,ESSB,Psychology,PhD candidate
114,TRUE,ESSB,Psychology,Associate Professor
115,TRUE,Other,NA,Lecturer
116,TRUE,ESSB,Psychology,PhD candidate
117,TRUE,ESSB,Pedagogical Sciences,Assistant Professor
118,TRUE,ESSB,Psychology,Full Professor
119,TRUE,ESSB,Psychology,PhD candidate
120,TRUE,ISS,NA,Full Professor
121,TRUE,ESSB,Other,Postdoc or researcher
122,TRUE,ISS,NA,PhD candidate
123,TRUE,ISS,NA,Associate Professor
124,TRUE,Other,NA,Other
125,TRUE,ISS,NA,Assistant Professor
126,TRUE,ISS,NA,Full Professor
127,TRUE,ISS,NA,PhD candidate
128,TRUE,ISS,NA,Other
129,TRUE,ISS,NA,Assistant Professor
130,TRUE,ISS,NA,PhD candidate
131,TRUE,ISS,NA,PhD candidate
132,TRUE,ESSB,Other,Other
133,FALSE,ESHCC,NA,PhD candidate
134,FALSE,ISS,NA,Other
135,FALSE,NA,NA,NA
136,FALSE,ESHPM,NA,PhD candidate
137,FALSE,ESHPM,NA,PhD candidate
138,FALSE,NA,NA,NA
139,FALSE,NA,NA,NA
140,FALSE,ESSB,Public Administration,Other
141,FALSE,ESSB,NA,NA
142,FALSE,ESSB,Psychology,PhD candidate
143,FALSE,ESSB,NA,NA
144,FALSE,ESSB,NA,NA
145,FALSE,ESHCC,NA,NA
146,FALSE,ESSB,Pedagogical Sciences,Full Professor
147,FALSE,ESSB,Pedagogical Sciences,Postdoc or researcher
148,FALSE,ESSB,Psychology,Full Professor
149,FALSE,ESHCC,NA,NA
150,FALSE,ESSB,Sociology,PhD candidate
151,FALSE,ESSB,Psychology,Full Professor
152,FALSE,ESSB,Pedagogical Sciences,PhD candidate
153,FALSE,ESHPM,NA,PhD candidate
154,FALSE,ESSB,Pedagogical Sciences,Other
155,FALSE,ESSB,Psychology,Other
156,FALSE,ESHPM,NA,PhD candidate
157,FALSE,ESHPM,NA,PhD candidate
158,FALSE,ESHCC,Media & Communication,Associate Professor
159,FALSE,ESHCC,Arts & Culture,Lecturer
160,FALSE,ESSB,Psychology,Other
161,FALSE,ESHPM,NA,PhD candidate
162,FALSE,ISS,NA,PhD candidate
163,FALSE,ESHPM,NA,PhD candidate
164,TRUE,ESL,NA,Associate Professor
165,TRUE,ESL,NA,Associate Professor
166,TRUE,ESL,NA,Full Professor
167,TRUE,ESL,NA,Full Professor
168,TRUE,ESL,NA,Full Professor
169,TRUE,ESL,NA,Full Professor
170,TRUE,ESL,NA,Full Professor
171,TRUE,ESL,NA,Full Professor
172,TRUE,ESL,NA,Full Professor
173,TRUE,ESL,NA,Full Professor
174,TRUE,ESL,NA,Full Professor
175,TRUE,ESL,NA,PhD candidate
176,TRUE,ESL,NA,PhD candidate
177,TRUE,ESL,NA,PhD candidate
178,TRUE,ESL,NA,Full Professor
179,TRUE,ESL,NA,Associate Professor
180,TRUE,ESL,NA,Full Professor
181,TRUE,ESL,NA,PhD candidate
182,TRUE,ESL,NA,PhD candidate
183,TRUE,ESL,NA,Assistant Professor
184,TRUE,ESL,NA,Assistant Professor
185,TRUE,ESL,NA,PhD candidate
186,TRUE,ESL,NA,PhD candidate
187,TRUE,ESL,NA,Assistant Professor
188,TRUE,ESL,NA,PhD candidate
189,TRUE,ESL,NA,Associate Professor
190,TRUE,ESL,NA,Full Professor
191,TRUE,ESL,NA,Associate Professor
192,FALSE,NA,NA,NA
193,FALSE,ESL,NA,PhD candidate
194,FALSE,ESL,NA,Other
195,FALSE,ESL,NA,PhD candidate
196,FALSE,ESL,NA,Associate Professor
197,FALSE,ESL,NA,Full Professor
198,FALSE,ESL,NA,PhD candidate
199,FALSE,ESL,NA,Associate Professor
200,FALSE,ESL,NA,Full Professor
201,FALSE,ESL,NA,Associate Professor
202,FALSE,ESL,NA,Associate Professor
