participant,Finished,cluster,question,value,item
7,True,3,What is your experience with study preregistration?,value_6,NA
7,True,3,What is your experience with study preregistration?,value_7,NA
7,True,3,What is your experience with study preregistration?,value_8,NA
7,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_1,Preregistration might make it more difficult to publish in certain journals
7,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_2,NA
7,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_3,NA
7,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_4,NA
7,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_5,NA
7,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_6,NA
7,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_7,NA
7,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_8,NA
8,True,3,"In your opinion, how important is preregistration for your work?",value_1,Not at all important
8,True,3,"In your opinion, how important is preregistration for your work?",value_2,NA
8,True,3,"In your opinion, how important is preregistration for your work?",value_3,NA
8,True,3,"In your opinion, how important is preregistration for your work?",value_4,NA
8,True,3,"In your opinion, how important is preregistration for your work?",value_5,NA
8,True,3,"In your opinion, how important is preregistration for your work?",value_6,NA
8,True,3,"In your opinion, how important is preregistration for your work?",value_7,NA
8,True,3,"In your opinion, how important is preregistration for your work?",value_8,NA
8,True,3,What is your experience with study preregistration?,value_1,"Until now, I was unaware of study preregistration"
8,True,3,What is your experience with study preregistration?,value_2,NA
8,True,3,What is your experience with study preregistration?,value_3,NA
8,True,3,What is your experience with study preregistration?,value_4,NA
8,True,3,What is your experience with study preregistration?,value_5,NA
8,True,3,What is your experience with study preregistration?,value_6,NA
8,True,3,What is your experience with study preregistration?,value_7,NA
8,True,3,What is your experience with study preregistration?,value_8,NA
8,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_1,I don’t know/prefer not to answer
8,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_2,NA
8,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_3,NA
8,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_4,NA
8,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_5,NA
8,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_6,NA
8,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_7,NA
8,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_8,NA
9,True,3,"In your opinion, how important is preregistration for your work?",value_1,Not at all important
9,True,3,"In your opinion, how important is preregistration for your work?",value_2,NA
9,True,3,"In your opinion, how important is preregistration for your work?",value_3,NA
9,True,3,"In your opinion, how important is preregistration for your work?",value_4,NA
9,True,3,"In your opinion, how important is preregistration for your work?",value_5,NA
9,True,3,"In your opinion, how important is preregistration for your work?",value_6,NA
9,True,3,"In your opinion, how important is preregistration for your work?",value_7,NA
9,True,3,"In your opinion, how important is preregistration for your work?",value_8,NA
9,True,3,What is your experience with study preregistration?,value_1,"I am aware of study preregistration, but have not used it"
9,True,3,What is your experience with study preregistration?,value_2,NA
9,True,3,What is your experience with study preregistration?,value_3,NA
9,True,3,What is your experience with study preregistration?,value_4,NA
9,True,3,What is your experience with study preregistration?,value_5,NA
9,True,3,What is your experience with study preregistration?,value_6,NA
9,True,3,What is your experience with study preregistration?,value_7,NA
9,True,3,What is your experience with study preregistration?,value_8,NA
9,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_1,Preregistration might delay data collection
9,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_2,I need to look at my data before I can decide how to best analyse it
9,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_3,Preregistration prevents exploratory research
9,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_4,Preregistration stifles research creativity or flexibility
9,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_5,Preregistration might lead to other people taking my research idea and implementing my plan
9,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_6,Preregistration might make it more difficult to find statistically significant results
9,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_7,"It might take too much time, effort, and resources"
9,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_8,NA
10,True,3,"In your opinion, how important is preregistration for your work?",value_1,Slightly important
10,True,3,"In your opinion, how important is preregistration for your work?",value_2,NA
10,True,3,"In your opinion, how important is preregistration for your work?",value_3,NA
10,True,3,"In your opinion, how important is preregistration for your work?",value_4,NA
10,True,3,"In your opinion, how important is preregistration for your work?",value_5,NA
10,True,3,"In your opinion, how important is preregistration for your work?",value_6,NA
10,True,3,"In your opinion, how important is preregistration for your work?",value_7,NA
10,True,3,"In your opinion, how important is preregistration for your work?",value_8,NA
10,True,3,What is your experience with study preregistration?,value_1,"I am aware of study preregistration, but have not used it"
10,True,3,What is your experience with study preregistration?,value_2,NA
10,True,3,What is your experience with study preregistration?,value_3,NA
10,True,3,What is your experience with study preregistration?,value_4,NA
10,True,3,What is your experience with study preregistration?,value_5,NA
10,True,3,What is your experience with study preregistration?,value_6,NA
10,True,3,What is your experience with study preregistration?,value_7,NA
10,True,3,What is your experience with study preregistration?,value_8,NA
10,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_1,Preregistration might delay data collection
10,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_2,Preregistration stifles research creativity or flexibility
10,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_3,"It might take too much time, effort, and resources"
10,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_4,NA
10,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_5,NA
10,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_6,NA
10,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_7,NA
10,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_8,NA
11,True,3,"In your opinion, how important is preregistration for your work?",value_1,Not at all important
11,True,3,"In your opinion, how important is preregistration for your work?",value_2,NA
11,True,3,"In your opinion, how important is preregistration for your work?",value_3,NA
11,True,3,"In your opinion, how important is preregistration for your work?",value_4,NA
11,True,3,"In your opinion, how important is preregistration for your work?",value_5,NA
11,True,3,"In your opinion, how important is preregistration for your work?",value_6,NA
11,True,3,"In your opinion, how important is preregistration for your work?",value_7,NA
11,True,3,"In your opinion, how important is preregistration for your work?",value_8,NA
11,True,3,What is your experience with study preregistration?,value_1,"Until now, I was unaware of study preregistration"
11,True,3,What is your experience with study preregistration?,value_2,NA
11,True,3,What is your experience with study preregistration?,value_3,NA
11,True,3,What is your experience with study preregistration?,value_4,NA
11,True,3,What is your experience with study preregistration?,value_5,NA
11,True,3,What is your experience with study preregistration?,value_6,NA
11,True,3,What is your experience with study preregistration?,value_7,NA
11,True,3,What is your experience with study preregistration?,value_8,NA
11,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_1,I need to look at my data before I can decide how to best analyse it
11,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_2,Preregistration stifles research creativity or flexibility
11,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_3,NA
11,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_4,NA
11,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_5,NA
11,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_6,NA
11,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_7,NA
11,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_8,NA
12,True,3,"In your opinion, how important is preregistration for your work?",value_1,Moderately important
12,True,3,"In your opinion, how important is preregistration for your work?",value_2,NA
12,True,3,"In your opinion, how important is preregistration for your work?",value_3,NA
12,True,3,"In your opinion, how important is preregistration for your work?",value_4,NA
12,True,3,"In your opinion, how important is preregistration for your work?",value_5,NA
12,True,3,"In your opinion, how important is preregistration for your work?",value_6,NA
12,True,3,"In your opinion, how important is preregistration for your work?",value_7,NA
12,True,3,"In your opinion, how important is preregistration for your work?",value_8,NA
12,True,3,What is your experience with study preregistration?,value_1,"I am aware of study preregistration, but have not used it"
12,True,3,What is your experience with study preregistration?,value_2,NA
12,True,3,What is your experience with study preregistration?,value_3,NA
12,True,3,What is your experience with study preregistration?,value_4,NA
12,True,3,What is your experience with study preregistration?,value_5,NA
12,True,3,What is your experience with study preregistration?,value_6,NA
12,True,3,What is your experience with study preregistration?,value_7,NA
12,True,3,What is your experience with study preregistration?,value_8,NA
12,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_1,"It might take too much time, effort, and resources"
12,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_2,NA
12,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_3,NA
12,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_4,NA
12,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_5,NA
12,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_6,NA
12,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_7,NA
12,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_8,NA
13,True,3,"In your opinion, how important is preregistration for your work?",value_1,Moderately important
13,True,3,"In your opinion, how important is preregistration for your work?",value_2,NA
13,True,3,"In your opinion, how important is preregistration for your work?",value_3,NA
13,True,3,"In your opinion, how important is preregistration for your work?",value_4,NA
13,True,3,"In your opinion, how important is preregistration for your work?",value_5,NA
13,True,3,"In your opinion, how important is preregistration for your work?",value_6,NA
13,True,3,"In your opinion, how important is preregistration for your work?",value_7,NA
13,True,3,"In your opinion, how important is preregistration for your work?",value_8,NA
13,True,3,What is your experience with study preregistration?,value_1,"I have some experience with study preregistration, but do not use it regularly"
13,True,3,What is your experience with study preregistration?,value_2,NA
13,True,3,What is your experience with study preregistration?,value_3,NA
13,True,3,What is your experience with study preregistration?,value_4,NA
13,True,3,What is your experience with study preregistration?,value_5,NA
13,True,3,What is your experience with study preregistration?,value_6,NA
13,True,3,What is your experience with study preregistration?,value_7,NA
13,True,3,What is your experience with study preregistration?,value_8,NA
13,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_1,Preregistration might delay data collection
13,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_2,"It might take too much time, effort, and resources"
13,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_3,NA
13,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_4,NA
13,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_5,NA
13,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_6,NA
13,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_7,NA
13,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_8,NA
14,True,3,"In your opinion, how important is preregistration for your work?",value_1,Moderately important
14,True,3,"In your opinion, how important is preregistration for your work?",value_2,NA
14,True,3,"In your opinion, how important is preregistration for your work?",value_3,NA
14,True,3,"In your opinion, how important is preregistration for your work?",value_4,NA
14,True,3,"In your opinion, how important is preregistration for your work?",value_5,NA
14,True,3,"In your opinion, how important is preregistration for your work?",value_6,NA
14,True,3,"In your opinion, how important is preregistration for your work?",value_7,NA
14,True,3,"In your opinion, how important is preregistration for your work?",value_8,NA
14,True,3,What is your experience with study preregistration?,value_1,"I have some experience with study preregistration, but do not use it regularly"
14,True,3,What is your experience with study preregistration?,value_2,NA
14,True,3,What is your experience with study preregistration?,value_3,NA
14,True,3,What is your experience with study preregistration?,value_4,NA
14,True,3,What is your experience with study preregistration?,value_5,NA
14,True,3,What is your experience with study preregistration?,value_6,NA
14,True,3,What is your experience with study preregistration?,value_7,NA
14,True,3,What is your experience with study preregistration?,value_8,NA
14,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_1,Preregistration might delay data collection
14,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_2,I need to look at my data before I can decide how to best analyse it
14,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_3,Preregistration stifles research creativity or flexibility
14,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_4,Preregistration might lead to other people taking my research idea and implementing my plan
14,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_5,"It might take too much time, effort, and resources"
14,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_6,NA
14,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_7,NA
14,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_8,NA
15,True,3,"In your opinion, how important is preregistration for your work?",value_1,Not at all important
15,True,3,"In your opinion, how important is preregistration for your work?",value_2,NA
15,True,3,"In your opinion, how important is preregistration for your work?",value_3,NA
15,True,3,"In your opinion, how important is preregistration for your work?",value_4,NA
15,True,3,"In your opinion, how important is preregistration for your work?",value_5,NA
15,True,3,"In your opinion, how important is preregistration for your work?",value_6,NA
15,True,3,"In your opinion, how important is preregistration for your work?",value_7,NA
15,True,3,"In your opinion, how important is preregistration for your work?",value_8,NA
15,True,3,What is your experience with study preregistration?,value_1,"I have some experience with study preregistration, but do not use it regularly"
15,True,3,What is your experience with study preregistration?,value_2,NA
15,True,3,What is your experience with study preregistration?,value_3,NA
15,True,3,What is your experience with study preregistration?,value_4,NA
15,True,3,What is your experience with study preregistration?,value_5,NA
15,True,3,What is your experience with study preregistration?,value_6,NA
15,True,3,What is your experience with study preregistration?,value_7,NA
15,True,3,What is your experience with study preregistration?,value_8,NA
15,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_1,I do not share any of these concerns
15,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_2,NA
15,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_3,NA
15,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_4,NA
15,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_5,NA
15,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_6,NA
15,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_7,NA
15,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_8,NA
16,True,3,"In your opinion, how important is preregistration for your work?",value_1,Slightly important
16,True,3,"In your opinion, how important is preregistration for your work?",value_2,NA
