School,Position,question,response,n
ESHPM,Postdoc or researcher,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",1
ESHPM,Postdoc or researcher,What is your experience engaging with society?,I regularly engage with society,2
ESHPM,Postdoc or researcher,What is your experience engaging with society?,"Until now, I was unaware of open engagement with societal actors",1
ESHCC,Assistant Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,1
ESHCC,Assistant Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Not at all important,1
ESHCC,Assistant Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Slightly important,1
ESHCC,Assistant Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",2
ESHCC,Assistant Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Other_Most of the societies I engage with is past us.,1
ESHCC,Assistant Professor,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",1
ESHCC,Assistant Professor,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",1
ESHCC,Assistant Professor,What is your experience engaging with society?,"Until now, I was unaware of open engagement with societal actors",1
ESHCC,Other,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,1
ESHCC,Other,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",1
ESHCC,Other,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",1
ESHCC,Lecturer,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,2
ESHCC,Lecturer,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Some societal actors might have ideas that are too difficult to implement,2
ESHCC,Lecturer,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",1
ESHCC,Lecturer,What is your experience engaging with society?,I regularly engage with society,1
ESHCC,PhD candidate,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,1
ESHCC,PhD candidate,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,1
ESHCC,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",1
ESHCC,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Other_I find it difficult to address certain issues in the media afraid of a backless from certain groups of people.,1
ESHCC,PhD candidate,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",1
ESHCC,PhD candidate,What is your experience engaging with society?,I regularly engage with society,1
ESL,Assistant Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,1
ESL,Assistant Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,2
ESL,Assistant Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,1
ESL,Assistant Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I don’t know/prefer not to answer,1
ESL,Assistant Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",1
ESL,Assistant Professor,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",1
ESL,Assistant Professor,What is your experience engaging with society?,I regularly engage with society,2
ESL,Associate Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,1
ESL,Associate Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Slightly important,1
ESL,Associate Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,3
ESL,Associate Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,2
ESL,Associate Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",1
ESL,Associate Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",2
ESL,Associate Professor,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",1
ESL,Associate Professor,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",2
ESL,Associate Professor,What is your experience engaging with society?,I regularly engage with society,2
ESL,Full Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,1
ESL,Full Professor,"In your opinion, how important is to have an open dialogue with society in your work?",I don’t know/prefer not to answer,2
ESL,Full Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,3
ESL,Full Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Slightly important,3
ESL,Full Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,3
ESL,Full Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Designing the research might become too complex,2
ESL,Full Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,2
ESL,Full Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I don’t know/prefer not to answer,3
ESL,Full Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",4
ESL,Full Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Some societal actors might have ideas that are too difficult to implement,1
ESL,Full Professor,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",2
ESL,Full Professor,What is your experience engaging with society?,I don’t know/prefer not to answer,2
ESL,Full Professor,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",3
ESL,Full Professor,What is your experience engaging with society?,I regularly engage with society,3
ESL,Full Professor,What is your experience engaging with society?,"Until now, I was unaware of open engagement with societal actors",2
ESL,PhD candidate,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,3
ESL,PhD candidate,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,3
ESL,PhD candidate,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,2
ESL,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,1
ESL,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",2
ESL,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",4
ESL,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Some societal actors might have ideas that are too difficult to implement,1
ESL,PhD candidate,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",3
ESL,PhD candidate,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",5
ESPhil,Associate Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,1
ESPhil,Associate Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Not at all important,1
ESPhil,Associate Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",2
ESPhil,Associate Professor,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",1
ESPhil,Associate Professor,What is your experience engaging with society?,I regularly engage with society,1
ESPhil,Full Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,1
ESPhil,Full Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Not at all important,1
ESPhil,Full Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,1
ESPhil,Full Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,2
ESPhil,Full Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",1
ESPhil,Full Professor,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",2
ESPhil,Full Professor,What is your experience engaging with society?,I regularly engage with society,1
ESPhil,PhD candidate,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,3
ESPhil,PhD candidate,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,2
ESPhil,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,3
ESPhil,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",1
ESPhil,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",1
ESPhil,PhD candidate,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",3
ESPhil,PhD candidate,What is your experience engaging with society?,I regularly engage with society,2
ESSB,Assistant Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,3
ESSB,Assistant Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,1
ESSB,Assistant Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Slightly important,1
ESSB,Assistant Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,8
ESSB,Assistant Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,3
ESSB,Assistant Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",2
ESSB,Assistant Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",7
ESSB,Assistant Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Some societal actors might have ideas that are too difficult to implement,1
ESSB,Assistant Professor,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",3
ESSB,Assistant Professor,What is your experience engaging with society?,I don’t know/prefer not to answer,1
ESSB,Assistant Professor,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",4
ESSB,Assistant Professor,What is your experience engaging with society?,I regularly engage with society,5
ESSB,Associate Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,1
ESSB,Associate Professor,"In your opinion, how important is to have an open dialogue with society in your work?",I don’t know/prefer not to answer,1
ESSB,Associate Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,1
ESSB,Associate Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I don’t know/prefer not to answer,1
ESSB,Associate Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",2
ESSB,Associate Professor,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",1
ESSB,Associate Professor,What is your experience engaging with society?,I regularly engage with society,1
ESSB,Associate Professor,What is your experience engaging with society?,"Until now, I was unaware of open engagement with societal actors",1
ESSB,Full Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,2
ESSB,Full Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Not at all important,1
ESSB,Full Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Slightly important,1
ESSB,Full Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,6
ESSB,Full Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,3
ESSB,Full Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",1
ESSB,Full Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",5
ESSB,Full Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Other_It is not relevant to my research,1
ESSB,Full Professor,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",1
ESSB,Full Professor,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",5
ESSB,Full Professor,What is your experience engaging with society?,I regularly engage with society,4
ESSB,Other,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,1
ESSB,Other,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,1
ESSB,Other,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,1
ESSB,Other,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,1
ESSB,Other,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",1
ESSB,Other,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",1
ESSB,Other,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",1
ESSB,Other,What is your experience engaging with society?,I regularly engage with society,2
ESSB,PhD candidate,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,5
ESSB,PhD candidate,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,4
ESSB,PhD candidate,"In your opinion, how important is to have an open dialogue with society in your work?",Slightly important,1
ESSB,PhD candidate,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,4
ESSB,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,1
ESSB,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I don’t know/prefer not to answer,2
ESSB,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",1
ESSB,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",10
ESSB,PhD candidate,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",4
ESSB,PhD candidate,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",3
ESSB,PhD candidate,What is your experience engaging with society?,I regularly engage with society,5
ESSB,PhD candidate,What is your experience engaging with society?,"Until now, I was unaware of open engagement with societal actors",2
ESSB,Postdoc or researcher,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,2
ESSB,Postdoc or researcher,"In your opinion, how important is to have an open dialogue with society in your work?",I don’t know/prefer not to answer,1
ESSB,Postdoc or researcher,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,1
ESSB,Postdoc or researcher,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,3
ESSB,Postdoc or researcher,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I don’t know/prefer not to answer,1
ESSB,Postdoc or researcher,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",2
ESSB,Postdoc or researcher,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",4
ESSB,Postdoc or researcher,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",2
ESSB,Postdoc or researcher,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",1
ESSB,Postdoc or researcher,What is your experience engaging with society?,I regularly engage with society,3
ESSB,Postdoc or researcher,What is your experience engaging with society?,"Until now, I was unaware of open engagement with societal actors",1
ISS,Assistant Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,1
ISS,Assistant Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,1
ISS,Assistant Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,1
ISS,Assistant Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,1
ISS,Assistant Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",1
ISS,Assistant Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Some societal actors might have ideas that are too difficult to implement,1
ISS,Assistant Professor,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",2
ISS,Assistant Professor,What is your experience engaging with society?,I regularly engage with society,1
ISS,Associate Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,2
ISS,Associate Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,1
ISS,Associate Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",1
ISS,Associate Professor,What is your experience engaging with society?,I regularly engage with society,2
ISS,Full Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,3
ISS,Full Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,2
ISS,Full Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Slightly important,1
ISS,Full Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,1
ISS,Full Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",4
ISS,Full Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Some societal actors might have ideas that are too difficult to implement,1
ISS,Full Professor,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",1
ISS,Full Professor,What is your experience engaging with society?,I regularly engage with society,5
ISS,Other,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,1
ISS,Other,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",1
ISS,Other,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",1
ISS,PhD candidate,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,1
ISS,PhD candidate,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,2
ISS,PhD candidate,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,2
ISS,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Designing the research might become too complex,2
ISS,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,1
ISS,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",1
ISS,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Some societal actors might have ideas that are too difficult to implement,1
ISS,PhD candidate,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",1
ISS,PhD candidate,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",2
ISS,PhD candidate,What is your experience engaging with society?,I regularly engage with society,1
ISS,PhD candidate,What is your experience engaging with society?,"Until now, I was unaware of open engagement with societal actors",1
Other,Other,"In your opinion, how important is to have an open dialogue with society in your work?",Slightly important,1
Other,Other,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,1
Other,Other,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",2
Other,Other,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",1
Other,Other,What is your experience engaging with society?,I regularly engage with society,1
Other,Lecturer,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,1
Other,Lecturer,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,1
Other,Lecturer,What is your experience engaging with society?,I regularly engage with society,1
Other,PhD candidate,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,1
Other,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",1
Other,PhD candidate,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",1
